Description,Is_Response
"""I got the depo shot and I have been bleeding non stop! I am bleeding very heavy and through overnight pads. I have bought pads every week for two months. I have also gone through mood swings were I am very depressed and then very angry. I will never take the depo shot again.""",not happy
"""I had my son in March 2019 and got the depo shot in May. I have NEVER tried birth control before and I wish I would have read more on depo prevera because I WOULD HAVE NEVER GOTTEN THE SHOT. The first month I was okay but as soon as I got my period I would be on for two weeks and then off for one week. It went from that to being on my period for 5 weeks and 3 days in August then went from that to being off my period only 5-7 days each month. My mood swings have been off the charts I'm EXHAUSTED!!!! I've been sent to the ER for passing out at work and low blood pressure. I only took this shot one time and it should have stopped in August and ladies I am still bleeding as we speak. It should be illegal.""",not happy
"""Stay away from depo, I get depo in Sep 10, 9 days before my period, I didn’t have my period for two months now I have been bleeding for 8 days, I expelled a clot that looked like placenta I was super scared!! My depression is getting worse I’m always so mad with my husband and I have less patience with my baby! I feel so bad!!! I gained about 10 pounds in less then two months! I have never feel pain in my periods and now I feel like I’m having a baby""",not happy
"""I was on the Depo Provera shot for 9 months. I liked that it made my periods go away temporarily, but unfortunately it was horrible for my skin and clogged up my pores. My face went from dry to super oily all day, and I was dealing with cystic acne all over my face. I also didn’t love that Depo Provera is linked to loss of bone density.""",not happy
"""My experience of Depo-Provera has been ok. It does what it’s supposed to do, which is not to get pregnant which is nice. I used to be on the pill but kept forgetting about it. My only issue is the spotting. I just received my third injection. I've been spotting a little bit before my 2nd one which was 4 months ago. Hopefully third time is a charm!!""",happy
"""My mother, who is in her mid-40s, began the depo shot in late August. Within only a few days she started to have a heavy period that went on for a little over three weeks. Finally she went to the doctor where they gave her birth control to help stop the period. A couple of weeks ago she arrived at her placebo pills and a heavy period started again, and once again it didn't stop. It is still going on and the doctor insists that it is STILL the result of the depo shot, saying that it may stop after a few more months. A few more months?! Of non-stop heavy bleeding?! That is ridiculous! It's making my mom weak and exhausted; nobody else needs to go through this. Please, use any other method of birth control. It is not worth this amount of pain.""",not happy
"""I absolutely love Depo-Provera! I use to have my period for 6 months at time then I got the shot and it completely stopped my bleeding after 6 months! It hasn’t made me gain any weight. I highly recommend it!""",happy
"""I got the Depo-provera shot in May 2019 for my horrible periods and it was great at first, stopped my period all together. Then when my time of the month would come the shot would make me so sleepy I couldn't keep my eyes open for a week. I asked my doctor and she said it can cause fatigue, but didn't explain how bad it could get. Never went for shot number 2. Got my period in October then early in November I started spotting and it's just been for days. The mood swings being on it and off are terrible. Coming off the depo I felt so sick and tired, had horrible headaches. I would never tell anyone to get this!""",not happy
"""I got a total of 3 depo shots. So in a few weeks I'm due for my 4th and I decided to not take it. First of all YES headaches, depression, I wouldn't say mood swings because I only was sad/upset/angry/tired/ never wanted sex/ always complaining about something. I was very unhappy for the past year and just NOW realized that the hormone shot was the reason. Did not help me gain weight like I wished (maybe a couple lbs). Very bad abdominal pain, yes period for the whole first month. I would not recommend it. Moms, stay away, this makes you a ZOMBIE!""",not happy
"""Despite reading some of the horrendous reviews and comments I can honestly say this Depo-Provera injection was the best thing for me. I tried a few variations of the pill which made my skin terrible, I suffer with acne but my skin became a lot more oily and harder to manage whilst on the pill. I had the injection for 4 years and my periods stopped almost immediately, I experienced no cramping, no spotting, I didn’t really notice any drastic change in my mood neither did my partner. I worried a lot about conceiving as I had read than it can take almost a year for things to return to normal and my partner and I got married September 2018 and had discussed a baby for many years prior to getting married. My final shot ran out in October (after our honeymoon) on the 4th January 2019 I found out I was 4 weeks pregnant with our first baby! She is now 7 weeks old. The injection was marvellous for me and I am hoping to recommence the injection now my body is settling back to normal""",happy
"""I tried the depo-provera shot for about one month. I kept an open mind about depo despite all the negative feedback my friends had given me. I should've listened! I gained 15 lbs on this shot and I was CONSTANTLY eating and NEVER felt full. My anxiety got so bad to the point I didn't want to leave the house. I constantly felt tired and moody with a lack of energy to do anything. The worst part was that it made me a monster. I am a very level-headed, passive person, but this shot made me angry at EVERYTHING, to the point where my boyfriend pointed it out. Lastly, I spotted constantly. While I had no period, I spotted pretty consistently and it was very annoying having to wear a liner everyday. The only positive thing I have to say about depo is that there's no way you could get pregnant on this shot. I finally feel like myself again now that it's out of my system. Never again.""",not happy
"""I think the Depo Provera shot is the worse choice I ever made. I had the first one in August 2019, I've been bleeding everyday during the first week, then it stopped. I had my period last September and it was over a week, now in October bleeding over 2 weeks. I'm tired every day and anxious and don't want to know about sex. I'm glad I found this site now I'm sure that I feel completely different because of that birth control. I suppose to go next week for my next Depo shot but I will definitely skip it.""",not happy
"""I just got my first Depo-Provera shot in September and I got my regular period on time but it’s not ending. I have been bleeding since then and I hate it. My cramps and such have gone away, but I still bleed everyday.""",not happy
"""Depo did make me bleed for the majority of a year and half. However, I did not gain any weight, my skin did not get any worse, and I DIDN’T HAVE TO WORRY ABOUT GETTING PREGNANT. On top of that, I am entirely convinced it made it easier to control my bipolar II. I don’t cry as much, I’m not as angry. My hypomania is easier to control. Every pill I ever tried made me suicidal. After a year and a half on depo, I would recommend it to anyone who has run out of options.""",happy
"""I am 18 years old and a senior in high school and have been on depo since sophomore year of high school. My mom and I decided that depo was the best birth control since I’m not too responsible as a 15/16 year old and I wouldn’t have to remember to keep taking birth control every day. Anyways, this has been the worst experience of my life. Depo was ok for the first year. Now I am suddenly experiencing dizziness, breast pain, severe cramps, nausea, etc. My whole body just feels uncomfortable and I am ALWAYS angry or upset. On top of that I am always tired to the point where I can take a three hour nap after school then go to bed at 8 pm that night. It has never been this bad before and it gets better for about a week then it starts all over again. Birth control is different for everyone but I thought I was okay for the first year then it all went down hill.""",not happy
"""I have been taking Depo Provera for the past 8 year's. My periods stopped after 6 months and none since. I didn't have bad periods before, so I'm reluctant to see how they will be being older and not having one for many year's. I have only gained 20 to 30 pounds since using Depo Vera off and on. I exercise and eat pretty healthy so no biggie with the weight. The only down fall I have for using Depo-provera so long is that now it's time for me to make a change in Birth Control or Sterilization. It was a great fit for me and could possibly be good for you as well. Thanks for reading!""",happy
"""DO NOT TAKE IT !! I took Depo like 9 years ago and I was fine ! I had a baby Dec 2018 and decided to take it again , so I got the shot in July 2019!! About the middle of August I started to feel horrible!!! I went back and forth to the doctors , I did blood work and everything came back great ! I was nauseous, moody , had flesh like clots falling out of me , acne, super oily skin !! OMG please trust me ! Be natural guys !!""",not happy
"""So I’ve been on this Depo-Provera shot off and on since I was 16. It was the only birth control I would even consider using. My son just turned 3 months old and my mood swings have been through the roof since I got the shot about a month or so ago. I get really upset at my husband for absolutely no reason, my depression has gotten worse to the point my obgyn has had to put me on medication AND increase the dosage already, and this may be TMI but tonight while I was in the shower I started cramping really bad and all of a sudden there is a clot about the size of my palm on my hand/ on my loofa. Sorry I know that sounds really disgusting but has this happened to anyone else?? First thought was maybe I had a miscarriage but then I read the comments on this site. My obgyn also ordered a colposcopy/biopsy for me after being put back on the shot but I haven’t had the money for the test. Should I be worried?""",not happy
"""I got this Depo Proverashot for birth control at my 6 weeks postpartum appointment. I didn’t read any side effects which is my fault I should have done my own research. The first month I bleed for 3 weeks straight heavy flow. I noticed my mood was all over the place and depression was at a high for me. I gained about 15 pounds just being on this for 3 months. My knees hurt when I sit on the floor and that has never happened before. My anxiety is through the roof. I’m always on edge and have lost so much sleep. My sex drive is so dead right now it hurts to have sex. Literally it hurts. I only did one round of this shot and I won’t be getting a second one. Please do research and talk to your doctor about this shot before getting it!""",not happy
"""I got my first Depo-provera shot in May of 2019. I had really heavy and painful periods, I was told that the depo shot would likely stop my period all together and I wouldn't have to worry about the pain anymore. It's almost November and I have been spotting every single day since May. I'm due for my third shot in December and I was told it can take up to a year for your hormones to fully regulate. I have some friends who have gone on it and they love it, their periods have stopped completely. It seems to have regulated my mood swings, because I was a basket case before. But the lack of sex drive and the permanent period might be the most annoying part of my life. Thankfully, I have a ridiculously understanding boyfriend. I'm starting to think the whole idea behind it is that if you just bleed a little bit constantly then your uterus is completely uninhabitable for an egg, but also you feel disgusting constantly and never want to have sex, birth control mission accomplished.""",not happy
"""I started depo back when I was 14 years old been on it till I turned 18. Depo did prevent pregnancy although the symptoms are not worth it. The doctors tell you how great it is but they dint tell you all the side effects. Only thing they really told me is weight gain. But there are so much more side effects. First off it’s bad for you bones. After stopping depo my hair started to fall out. I have thick blond hair and now I’m using small little kid hair ties for my hair. It made me dizzy, constantly hungry, tired and always , exhausted , bloated and painful cramps and breast pain. I've now been on my period for 4 months now and it’s STILL going. Only thing good is that even though I had my last injection 5 months ago it’s still preventing pregnancy. Depo shot should NOT even be legal. I will never be on this again.""",not happy
"""I wouldn’t recommend depo to anybody at all, I first got the shot last year in October or, November today it’s October 26 , 2019 I’ve been bleeding since then & now this medicine is horrible not normal at all .""",not happy
"""I started the Depo Dec 2018 because my periods were heavy and I was always tired. So that is why my Dr suggested I try this birth control Depo-Provera to stop the bleeding. So I got it first shot I was ok I had a light period maybe 3 days ok fine. The second injection I spotted the entire 3 months I was furious. The Dr recommend just give it a year so I foolishly accepted the 3rd shot been a complete nightmare, not knowing if I was going to spot a day or not. And it seemed as if every time I was aroused or ready to be intimate boom here comes the bleeding sometimes clotting. I was due for my 4th injection Oct 23 and here it is the 26th and I just woke up in a full blood bath I’m completely over this shot and I wish I would’ve found this site before trying it and I would have never! Ladies I would not recommend you give up a period to have spotting every day of a month its not worth it.""",not happy
"""Do not get the Depo-Provera birth control !! I’ve been on the shot a little over a year now. After I had my first daughter I thought this would be a good idea being that I did not want any kids anytime soon. Wrong. This has been the worst thing in life. At first i didn’t have a period for months. Then when it came literally lasted a month or longer. And this has gone on the entire year. Recently I started my period on September 15. Today is October 23 and I am STILL bleeding. It is now a brownish color but still spotting. It’s been so embarrassing in my sex life. I am depressed over it not knowing if it will ever stop. It was been 5 weeks now and I am still spotting. I am to return back for another shot next month and I will NOT be getting another injection.""",not happy
"""Have used used depo provera for 9 months without any side effect but after stopping using it March 2019 haven't received back my period up to October 2019 where I have seen some blood spotting for like 17 days but not continuous. My question is when will I get my normal periods back because I want to conceive??""",happy
"""I love depo! Took it for 13 years with the only side effect being loss of menstruation. I'd have stayed on until menopause but my spouse had a vasectomy.""",happy
"""I was on the depo for a total of six months and stopped getting the injection. Since then my period has been horrible, and that was almost 2 years ago. My period didn’t come for the first few months after I stopped getting the injections, and eventually changed to where it would skip one month and the next I’d get my period for 15 days straight. Now my period is more regular but I bleed pretty profusely. Not to mention it didn’t feel normal not having my period with the shot and my mood swings were all over the place to where I felt like I was going insane. I wouldn’t recommend the depo to anyone considering it. Just use condoms and get the birth control pill.""",not happy
"""Read a lot of negative stuff about the Depo after getting my first shot, made me paranoid as anything. For me it's been perfectly fine so far, currently coming up to my third shot. No massive hormonal changes or mood swings, no weight gain everything is working well.""",happy
"""The depo provera isn't anything new to me I used it back in 2010 (for a year and half or 2) after I had my son. I had forgot the side effects I had experienced back than and I just recently got one in Aug 2019 after having my daughter and this was just a quick solution leading for a permanent decision. Anyways I did have a prolonged period but not heavy and my hair is falling out, I have really think hair. I put my fingers through my hair it comes out, I brush it comes out, when I shower it comes out. It's terrible and I have been pretty irritably lately which sucks cause you don't notice til after you've upset someone. Depo-provera also causes bone loss but this was my last one after 4 kids. A vasectomy is in my husbands very near future.""",happy
"""I only got one dose of Depo-Provera after my baby was born. I didn’t like what it did to my hormones so I decided not to get another shot and switch back to condoms. I have been off the Depo for 3 months and have not seen my hormones or my periods return to normal . I felt like the negative side effects outweighed the positive.""",not happy
"""If you ever start to have a period while on depo all you have to do is take 1 month of birth control pills and it will put you back on track. My obgyn let me know this when I told her about my friends experience. She got the depo and had a period for weeks, but a pack of birth control pills fixes it. Just in case y'all never been told this.""",happy
"""I loved the shot. So simple and worry free. Consistently on Depo for over 3 years. Gave me no problems at all. Periods stopped almost instantly and haven’t had one since. No cramping, No bleeding. I did gain weight but also who’s to say that isn’t my own fault. I’ve had acne most of my life and it didn’t really get better or worse. The only reason I can’t give this birth control a full rating is because I saw that long term effects of the shot leads to substantial bone resorption, and weakness. So I will be changing my method of birth control.""",happy
"""Horrible experience. Was on depo for a year, last shot ran out in May 2018 and I still suffering now Oct 2019 from the hormonal imbalance that it has caused. Rapid heart beat, fatigue, head pressure, acne, allergies... list goes on. Stay away if you are considering it.""",not happy
"""Hey ladies.... depo is the worst birth control I ever got. Bleeding non stop after about a month after. However I did some research and there are a couple natural remedies that have really helped. 1. Red raspberry leaf tea 3x a day 2. Agnus Cactus (Vitex) (it’s a tincture so I feel it gets absorbed better in your system) 3. Dong Quai 3x a day After taking this regimen my bleeding stopped. Of course I got happy and forgot to take them and it comes back but for anyone who’s so sick and tired of bleeding (and not having sex ughhh) give this a try. If it works give some feedback so more ladies can have some of their symptoms regulated Xoxo""",not happy
"""I'm so over this shot! I got this in mid-September and I can't wait for it to exit my body. I have been having so many different emotions everyday. I hate being so moody all the time. I will go from being angry to crying for hours. I've also had bleeding on and off for weeks. I am tired of being in pain and would never recommend anyone to get this form of birth control. There are so many better options out there.""",not happy
"""Only had one shot and made my life hell been itchy so bad the doctors had to put me on strong antihistamines have stomach ache all the time now started with back problems have been bleeding for 3 months straight nightmare not heavy but brown like discharge every time is actually making me so depressed made my anxiety ten times worse. I can't wait till my body actually gets back to normal that's if it does. I had headaches not stop for weeks too not good when I have two young children to look after. I had a really bad reaction to this I ended up going to hospital and they told me never to have this again. Only one shot and feel like absolute garbage had my shot on 1st July as well""",not happy
"""I stopped depo about 3 months ago, I've been bleeding for two months. I've gained 30 pounds. I'm a complete emotional rollercoaster. And it wasn't even worth the short term relief.""",not happy
"""I go the shot in late August and a week after getting the shot I bled continuously with no signs of stopping for 14 days and I was panicking and found this site. I scrolled for hours and found a comment that saved me!!!! If you are continuously bleeding go get some raspberry leaf tea and drink 4 cups of it a day.( I would just permanently the night before put two tea bags in a 16 ounce glass bottle with honey and let sit over night) I took this for two days and the bleeding was still there but very light. However I needed it to stop completely because my boyfriend of a long distance relationship was coming that weekend. So I went on amazon and ordered natural estrogen supplements and took those with the tea every day and the bleeding completely stopped after 4 days and I haven’t bled since. The estrogen supplements also stopped my bad mood swings and my heat flashes as well, I feel back to normal. I HOPE THIS HELPS YOU GUYS GET YOUR LIFE BACK""",not happy
"""I've been on depo provera about 5 months now. Did have some weird periods the first few months like only spotting or one really long period but now I'm quite happy with it. I've actually lost weight and being a bigger woman already this kind of surprised me. I'm getting to the point where I don't have much of a period at all anymore. I get a little emotional around the time my period is due but its hormones so I kind of expected that. Honestly though I'm very content with depo compared to other birth controls it doesn't make me sick and I don't have to worry about a daily pill. I'm all for this convenient birth control that works well for me!""",happy
"""Horrible experience!!! This is the worst birth control on the market and it should be banned. The first week after I got this, I was fine. I started spotting on and off on the second week. Once the third week started, I have been spotting nonstop and it's getting heavier and heavier each day!! This is insane. This is honestly worse than my period. Along with this insane spotting, I'm having cramps, acne, and intense mood swings where I feel like I am losing it! I've also felt depression and mood swings where I will just cry for hours. So disappointed I switched to this birth control. I've only had one shot and will not be getting another one. I got this for endometriosis and because I didn't want any additional ovarian cysts. This is not worth the side effects. Please do not get this shot. It will ruin your life and you will spot every single day of your life for months! I'm so frustrated and sore!!""",not happy
"""I got the Depo shot in August 2019 and I have been bleeding non stop since!! It is now October and I am still bleeding to this day. The side effects from this are very distressing and I noticed a complete change in my personality and mood as well, I became so anxious and depressed from this injection. My entire family noticed my mood swings. I would cry for no reason the first month, it’s just awful. Please beware of the side effects and really do your research before getting on depo!""",not happy
"""I have been on the shot since Jan of 2018 & at the beginning I did get irregular bleeding. I would bleed for weeks at a time. Now I barely bleed at all. However, I am always angry and moody. Before the shot, me and my bf were very happy and got along well. Since I’ve been on the shot all we have done is fight because I always have an attitude and I get upset about everything. I’ve also gained weight. My first time going in I weighed 117 lbs. I check my weight when I get my shot and each time it goes up. I am at 150 lbs now and no matter what I do I can’t lose the weight. Another issue is my sex drive. I never want to have sex anymore and have issues getting wet and aroused with my partner, who is very sexy and I’m very attracted to.he isn’t the problem. I also bleed after we have sex sometimes. And I get these very sharp pains in my vagina all the time. I want to get off this method but all other reviews for the other forms are just as bad if not worse.""",not happy
"""I started using depo May 2019 and it has been a nightmare. I gained so much weight, I feel down most of the times, I have a bad knee now, it made me break out really bad and I always feel tired. I was supposed to to go back for the second shot but I didn't now the side effects are bad I have been bleeding non-stop for like 2 weeks and it has been a horrible experience. I hate it. I WOULDN'T RECOMMEND IT TO ANYONE.""",not happy
"""Depo saved my life. My period cramps were so bad during my cycle I couldn't work, walk, eat, lay down, sit up, drink. I couldn't do anything. My GP or my OB couldn't figure out what was happening. They finally sent me for an ultrasound during my period and it turned out when my uterine lining was shedding it would tear away from my uterus. I've been on depo for 4 years and I never want to go back. It stopped my period completely, I still get occasional cramps, but it's a worth it to not have my body ripped apart every month. Everybody's body reacts differently to the drug, some people told me horror stories about never stopping bleeding. But for me it worked amazingly. Thanks for reading.""",happy
"""I got the depo shot in early May 2019 and this shot is ridiculous. I don’t want to attribute all issues as they may only be coincidental but I will list everything that has happened. - prolonged bleeding at first(I expected this) -crazy mood swings -intense anxiety The shot has since “worn off” and I’m still experiencing -anxiety -mood swings -bleeding every other week In general I feel like garbage and I felt fine prior to having this shot.""",not happy
"""I have not stopped bleeding and I am so moody! I got this shot early September 2019 and I will not be going back for another! I can not wait for this shot to get out of my system and I probably still have another 6 months.""",not happy
"""This shot has actually ruined my life. I had ONE shot and never went back for another. I would say the first month and a half was fine (no problems) but I started to notice weight gain which made me upset because since I started the shot I’ve watched what I ate religiously to avoid weight gain... another thing is the mood swings. They are extremely uncontrollable and not normal. I can say I’ve developed extreme depression and lack of energy to do anything. I would describe myself as outgoing and energetic. Since then I don’t know who I am anymore. Every other night I cry and if I’m not crying I’m just so annoyed at every thing, any small inconvenience to my life sends me in a downward spiral of emotions. This is without a doubt the worst thing that ever happened to me.""",not happy
"""I got a depo shot April 2019. The first couple of months it was just spotting then in August is was normal. But the last week of August it started again first light. Then heavy. I've been bleeding everyday since. And it's almost October. This is crazy. Can't wear anthing but black """,not happy
"""I got this Depo Provera shot to regulate my period but it has done the total opposite! I started the shot in January of 2019 and bled heavily until the end of May. It stopped for about 8 weeks and started back. Till this day I bleed every single day. I’ve been to countless doctors and they all keep saying this is normal and don’t believe how bad my symptoms are. I kinda want to give it a full year to see if the bleeding will stop but i don’t know if it’s worth it.""",not happy
"""I got this shot March 2019. IT IS THE WORST MISTAKE I EVER MADE IN LIFE. It is now September going October and I am still bleeding. At first it was every single day for about 3 months. I didn't get a second shot. I started to spot every now and then after 3 months and then I stopped bleeding for a few weeks, now I bleed for 2 weeks straight and get a few weeks break and then 2 weeks again, currently approaching my second week of bleeding while typing this and the bleeding is very heavy to the point where I am afraid to even sit down. HIGHLY NOT RECOMMENDED. No sex drive,cramps, moody,depressed, weight gain and the list goes on.""",not happy
"""This is a HORRIBLE drug. I have a blood clotting disorder, I was prescribed Depo-provera because it was suspected that I had endometriosis. The GYN who prescribed Depo said it would ""absolutely cure"" the endometriosis IF I had it. We still don't know for sure because the GYN refused to do a laparoscopy. I told the doctor I cannot take hormonal birth control due to my blood clotting disorder and my previous history of DVTs. She insisted Depo was ""safe"" and does not cause blood clots This is an absolute lie. Within a week of taking the shot. I was in the emergency room with multiple blood clots in my leg. I haven't had an issue with blood clots for 12 years. I'm given this shot and within a week, I have a leg full of blood clots. Sadly, the GYN who prescribed Depo in the first place refused to listen and flat-out denied the Depo caused my blood clots, regardless of all the medical research to the contrary. PLEASE! If you have a clotting disorder or a history of blood clots DON'T TAKE THIS SHOT""",not happy
"""Please do your research before you get Depo-provera I know my doctor never told me about these side effects that could happen and they did! I started taking this shot about 9 months ago, at the beginning of this month I took it again and I will never take this shot ever again! I’ve been having hot flashes constant dizziness (sometimes I feel like I’m going to fall over) and extreme anxiety (panic attacks) and I feel so tired all the time. The more research I do the more I realize that this Depo shot is most likely the cause of the way I’ve been feeling. I started taking this because I have excruciating periods (which the Depo did help with my periods) but all these other side effects from this shot that is effecting my life on a daily basis. All I can do now is wait it out and hope I get better but my life has been so bad lately. This shot might be fine for you but all I’m saying is do your own research first!!""",not happy
"""I took one shot in 2014 and I bled for 2 years afterwards, starting a week after I got it. I gained 100 pounds, got cyst clusters, skin problems, immune issues, etc. And still have not recovered as of 2019. I am still going through suffering to this day""",not happy
"""I was told I should consider taking the depo shot or the mini pill because it would help regulate my period or stop my period from happening. I tried the mini pill first and got my period every two weeks and so decided I should try the shot... WORST decision ever!! I got it a month and a half ago and for the last two weeks I've been bleeding everyday; I was told I may experience some spotting and warned about the bone density problem but was never told about this side effect. Would not recommend this shot to anyone""",not happy
"""I have not had any major issues. It was worked perfectly for BC. I have not had any breakthrough bleeding. Nothing out of the ordinary. But I have gained some weight. I am a thicker woman, so I don't mind. I know ALL BC works differently for everyone.""",happy
"""I stopped this after 2 years after I bled for 6 months straight. My hair, eyebrows and eyelashes are falling out, my arm and leg hair got thicker and longer, and I grow hair in a vague beard pattern and the hair in between my eyebrows grows extremely long now, and I have to shave it. My skin and hair is now extremely oily, even more oily than it was in the summer, so this doesn’t make any sense. The acne I got in one/two months after stopping this has left tons of scarring and I’ve needed to get an antibiotic for it. I wanted to start taking it again just to get rid of these horrible symptoms but I know it will just be worse next time I try to stop. The bleeding threw off my pH balance and I have had to fight odor down there since then. Horrible drug. Hopefully these symptoms will subside, but it’s been two months.""",not happy
"""I got my first Depo-Provera shot on July 2019. This was prior my period was supposed to have came, in early August I experienced light bleeding for about 7 days, mind you my usual period only lasted for about 4 days... After that I would spot daily until it stopped for a week. After that I went on to bleed non stop and it has been over a month now that I bleed daily. My sex life is over, I hate to see the blood and I have to admit my mood is no longer the same. To add salt to the wound, I was a very active person but now I get tired really quickly with activities I used to do normally without a problem. I got prescribed pills to stop the bleeding but they don't seem to be doing the trick. I regret messing with my body like this. I would not recommend Depo-provera to anyone.""",not happy
"""I'm sharing this to everyone who is considering the Depo-provera shot. I have been bleeding constantly for 8 months straight, and every shot I've taken my doctor told me ""oh just wait for the next shot"" over and over. The spotting eventually became a heavier flow of bleeding and big amounts of blood clots. The cramps are so bad that I couldn't walk, it feels like my all the area below my belly button was slowly ripping apart. It has changed me emotionally too. It increased my anxiety and depression and just really dark thoughts. It has changed my personality drastically. I also caused me to passed out twice. And cramps symptoms are usually sweating, shaking, and in a lot of pain. It has caused emotionally and physically pain and risks of life. I DO NOT RECOMMEND THE DEPO SHOT. One of my friends also took the depo shot and now she can't get pregnant anymore ever. So please do yourself a favor and try different birth control methods and not risk using this one.""",not happy
"""I got the shot in mid June. On July 18th I stared getting the signs of a period. I went through all the symptoms for a week with no bleeding. I finally started bleeding, but it was dark brown and tar like. It's September 18th and with only a week break I have been bleeding this whole time. My skin is breaking out horribly (never used to break out). Can't lose weight, increase appetite, period symptoms the whole entire time (moodiness, lethargic, etc..). No sex drive. Like 100% non existent. Cannot tell people enough DO NOT GET THIS SHOT.""",not happy
"""I have been bleeding non stop for 5 months now and am now bleeding so bad I'm soaking through tampons within a few hours. I got the shot once I started to bled it is non stop, so didn't get it again at my 3 month mark and still bleeding going on almost 6 months strait. DO NOT GET THIS SHOT!!!!""",not happy
"""I am so glad I found this forum as I was freaking out about the fact I have been having HEAVY bleeding almost every day for 6 months after just ONE depo-provera shot! I was going to the doctors for all sorts of tests as I just couldn't believe that one shot could do this to my body but reading everyones experiences on here has helped put my mind at rest. It's now just a waiting game for this horrible chemical to get out of my body & then I will be using natural birth control where you monitor your fertile & non fertile days because messing with our cycle is incredibly bad for me! It's been awful & judging from the huge amount of bad reviews here it should not be allowed. Horrible.""",not happy
"""I got this shot November 2018. It is now September 2019 and let me tell you... I suffered a whole year on this medication. I had very bad period cramps and depo caused no cramping at all! But on the other hand I have been bleeding on depo for a year straight every single day. Everyone has different bodies and I understand that but depo made my uterus lining too fragile so I wasn’t able to work out or lift weights without heavy breakthrough bleeding. The doctors didn’t have much to say and just told me to switch to a IUD which I refuse. I’m in a situation now where I can’t get off of it because of my period cramps but I cannot stand this medication making me bleed everyday. It started to hold me back from a lot of activity’s and made me depressed. Please please please don’t let the doctors tell you differently if you have any of these problems. We are all women who are trying to find solutions through birth control and don’t deserve back lash.""",not happy
"""I'm in my 40's and I started Depo after my son was born 25 years ago. It was fairly new to Canada at the time, so there weren't any long term studies. I remember there being some spotting initially for the first few months but after that I haven't had a period or any PMS since. There may have been a small amount of weight gain in the beginning but with diet and exercise it's been easy to negate that side effect. My mood and sex drive have been relatively stable over the years and really have only had the odd breakout every so often (may or may not be related to Depo). Over the years there became concern for bone density loss so my Dr. had me have a bone density scan a few years back. Thankful to say that there has not been any bone density loss due to the Depo shot. Now that I'm getting older, I just make sure that I take a Calcium supplement. All in all I'm satisfied!""",happy
"""I’ve been on the shot for 9 months, the first shot worked fabulous! I took my second shot and started my period... and have yet to stop. I’m on my 3rd shot and I’m non stop bleeding and gaining LOTS of weight. I tried estrogen to even it out but it only worked for two days before I was back to bleeding again. My sex life is gone so no real point in being on this awful shot. NOT RECOMMENDED""",not happy
"""The Depo-provera birth control was convenient until about the one year anniversary of me starting it. This is when I started experiencing extremely painful cramps and that would come and go, and sexual activity caused me to have extreme cramps and heavy menstrual bleeding. I then bled consistently for 5+ months even with no sexual activity. I realized it was likely connected to the shot, which has a reputation for causing irregular bleeding. I stopped it, and now seem to have TONS of acne, which I noticed would pop up if I was a little late getting my shot, but would go away when I got it. I had to go on the pill to stop the bleeding, but stopped the pill too because I was sick of being dependent on these medications, and I’m now waiting to see if the bleeding comes back. I now am going to have to see a dermatologist for the angry red acne on my face. My advice is to stay away from this method of birth control.""",not happy
"""I have been on Depo since I was 15 year old for migraines & PCOS. I've never had side effects. My Dr advised in my 30s to have a Mirena inserted instead. I had bad side effects for 18 months - spotting, hair loss, cramping & bad anxiety. I had it removed & was told Depo would be given at my next cycle. Flow came the following month, with cramps & bad anxiety. From 35 to 38 I was on Depo & anxiety free & then we decided we wanted a family. I stopped & 3 months later my flow, pain & anxiety returned, so I went back on Depo. I'm now in my early 40s & my Dr has said I need to stop it. I read some articles about a progesterone & anxiety link coming off Depo. It's called a hormone storm - Depo keeps progesterone high in the body, when Depo leaves your body, large amounts of oestrogen return, and progesterone drops, causing anxiety. I will be asking my Dr about this, as anxiety is the biggest concern stopping. Has anyone else experienced this & did the anxiety decrease as they got back into regular cycles?""",happy
"""I got the Depo-provera 2 days after having my son March 1st I didn't bleed for 3 months then after that when June hit I bleed on and off. Then on August 12th started bleeding again and now its Sept 4th I'm still bleeding I will never get this shot again. I gained weight and body aches. I just want this to be over I can't enjoy life. If I were you I wouldn't get it..""",not happy
"""I'm 21. Started the depo-provera BC shot. No side effects for the first week, then it hit me like a truck, started bleeding out of no where. I definitely felt my mood and emotions heighten. I gave it another week to see if the bleeding would stop or if that was just my period but it didn't stop. I was depressed & irritated I was continuously bleeding especially because I was bleeding almost a month prior to the birth control due to a termination of pregnancy. I called my doctor to switch birth controls and started the Sprintec pills right away. After a few days on the pill the bleeding stopped completely & my emotions are getting better. I read almost every review about the depo shot & how to stop the bleeding & never read anything that would help me. I'm a tough person & thought I could handle the side effects from the shot & hoped I would get lucky & not get break though bleeding but I did. If anyone is going through the same thing from depo I highly suggest the Sprintec pills.""",not happy
